Year,Population,Note
1767,18777, From Lutz et al
1777,29761
1787,40439
1797,59020
1807,77768
1817,97847
1830,96945
1840,124335
1846,158462
1851,180823
1861,310050
1871,316042
1881,359874
1891,370588
1901,371023
1911,368791
1921,376485
1931,393238
1944,419185
1952,501415
1962,681619
1972,826199, From gov census data
1973,846089   
1974,857063   
1975,867824   
1976,879193   
1977,893069   
1978,907779   
1979,922807   
1980,937886   
1981,950785   
1982,960994   
1983,968609   
1984,978658   
1985,986520   
1986,994319   
1987,1001607   
1988,1009332   
1989,1017307   
1990,1024571   
1991,1035936   
1992,1049988   
1993,1062855   
1994,1078148   
1995,1087636   
1996,1099057   
1997,1113144   
1998,1125118   
1999,1139718   
2000,1151094   
2001,1160083   
2002,1167995   
2003,1176323   
2004,1183533   
2005,1190361   
2006,1195676   
2007,1200887   
2008,1204955   
2009,1207842   
2010,1210391   
2011,1211970   
2012,1214987   
2013,1217341   
2014,1219265   
2015,1220663   
2016,1221213   
2017,1221975   
2018,1222268   
2019,1222340   
2020,1221921   
